Date,KSTPS_Schedule,KSTPS_Injection,KSTPS_Deviation,VSTPS I_Schedule,VSTPS I_Injection,VSTPS I_Deviation,VSTPS II_Schedule,VSTPS II_Injection,VSTPS II_Deviation,VSTPS III_Schedule,VSTPS III_Injection,VSTPS III_Deviation,Sipat2_Schedule,Sipat3_Injection,Sipat4_Deviation,Jindal_Schedule,Jindal_Injection,Jindal_Deviation,Kawas_Injection,Kawas_Deviation,Gandhar_Schedule,Gandhar_Injection,Gandhar_Deviation,Lanco_Schedule,Lanco_Injection,Lanco_Deviation,NSPCL_Schedule,NSPCL_Injection,NSPCL_Deviation,Korba7_Schedule,Korba8_Injection,Korba9_Deviation,sipat1_Schedule,sipat2_Injection,sipat3_Deviation,RGPPL_Schedule,RGPPL_Injection,RGPPL_Deviation,ACBIL_Schedule,ACBIL_Injection,ACBIL_Deviation,BALCO_Schedule,BALCO_Injection,BALCO_Deviation,CGPL_Schedule,CGPL_Injection,CGPL_Deviation,DCPP_Schedule,DCPP_Injection,DCPP_Deviation,VSTPS IV_Schedule,VSTPS IV_Injection,VSTPS IV_Deviation,Mauda_Schedule,Mauda_Injection,Mauda_Deviation,GMR Warora_Schedule,GMR Warora_Injection,GMR Warora_Deviation,KSK_Schedule,KSK_Injection,KSK_Deviation,Essar Mahan_Schedule,Essar Mahan_Injection,Essar Mahan_Deviation,Sasan_Schedule,Sasan_Injection,Sasan_Deviation,DB Power_Schedule,DB Power_Injection,DB Power_Deviation,REL_Schedule,REL_Injection,REL_Deviation,REGL_Schedule,REGL_Injection,REGL_Deviation,MB Power_Schedule,MB Power_Injection,MB Power_Deviation,JPL-II_Schedule,JPL-II_Injection,JPL-II_Deviation,DGEN_Schedule,DGEN_Injection,DGEN_Deviation,Dhariwal_Schedule,Dhariwal_Injection,Dhariwal_Deviation,VSTPS V_Schedule,VSTPS V_Injection,VSTPS V_Deviation,RKM Power_Schedule,RKM Power_Injection,RKM Power_Deviation,Jhabua Power_Schedule,Jhabua Power_Injection,Jhabua Power_Deviation,TRN Energy_Schedule,TRN Energy_Injection,TRN Energy_Deviation,Mouda-II_Schedule,Mouda-II_Injection,Mouda-II_Deviation,Solapur 1_Schedule,Solapur 2_Injection,Solapur 3_Deviation,SKS_Schedule,SKS_Injection,SKS_Deviation,RUMS 1(Mahindra)_Schedule,RUMS 1(Mahindra)_Injection,RUMS 1(Mahindra)_Deviation,Arinsun_Schedule,Arinsun_Injection,Arinsun_Deviation,ACME_Schedule,ACME_Injection,ACME_Deviation,Ostro(Wind)_Schedule,Ostro(Wind)_Injection,Ostro(Wind)_Deviation,Renew(Bhuvad)_Schedule,Renew(Bhuvad)_Injection,Renew(Bhuvad)_Deviation,GIWEL II_Schedule,GIWEL II_Injection,GIWEL II_Deviation,GIWEL III_Schedule,GIWEL III_Injection,GIWEL III_Deviation,IWISL_Schedule,IWISL_Injection,IWISL_Deviation,LARA 1_Schedule,LARA 2_Injection,LARA 3_Deviation,AWEKL_Schedule,AWEKL_Injection,AWEKL_Deviation,Khargone_Schedule,Khargone_Injection,Khargone_Deviation,Gadarwara_Schedule,Gadarwara_Injection,Gadarwara_Deviation,Alfanar_Wind_Schedule,Alfanar_Wind_Injection,Alfanar_Wind_Deviation,Gadsisa(RP_AP2)_Schedule,Gadsisa(RP_AP2)_Injection,Gadsisa(RP_AP2)_Deviation,Frequency_hz,Block
01-May-21,1952.252,2009.124,56.872,1146.596,1162.036,15.44,929.5,936.648,7.148,937.5,939.536,2.036,937.5,936.008,-1.492,485,488.752,3.752,-2.016,-2.016,270,273.52,3.52,502.4,514.62,12.22,455,446.648,-8.352,468.752,475.824,7.072,1856.252,1863.484,7.232,507.496,462.256,-45.24,384.5,396.22,11.72,594.292,533.236,-61.056,710,690.18184,-19.81816,0,0,0,937.5,946.62,9.12,937.504,936.36,-1.144,275,251.344,-23.656,1633.252,1641.6,8.348,500.532,527.36,26.828,3722.4,3510.832,-211.568,1037.292,1041.456,4.164,1193.452,1202.328,8.876,566.9,567.272,0.372,1129.26,1104.728,-24.532,1120,1125.504,5.504,0,-2.18,-2.18,273,274.328,1.328,463.752,473.02,9.268,985,982.256,-2.744,562.44,539.636,-22.804,0,-0.872,-0.872,1237.508,1222.476,-15.032,0,-4.8,-4.8,270.052,274.472,4.42,0,-0.64,-0.64,0,-0.512,-0.512,0,-0.512,-0.512,97.772,103.936,6.164,101.072,115.712,14.64,60.352,59.968,-0.384,80.232,81.92,1.688,47.16,49.152,1.992,1500,1500.22,0.22,81.052,96,14.948,950,939.492,-10.508,750,751.924,1.924,86.672,86.912,0.24,60.98,54.08,-6.9,49.98,1
01-May-21,1952.252,2011.44,59.188,1146.596,1157.804,11.208,929.5,937.504,8.004,937.5,956.412,18.912,937.5,947.488,9.988,485,491.748,6.748,-1.488,-1.488,270,266.56,-3.44,502.4,515.2,12.8,455,445.556,-9.444,468.752,474.96,6.208,1856.252,1893.872,37.62,478.584,425.02,-53.564,384.5,394.472,9.972,594.292,511.708,-82.584,710,698.54544,-11.45456,0,0.08,0.08,937.5,949.82,12.32,937.496,935.636,-1.86,275,265.02,-9.98,1633.252,1645.092,11.84,500.532,514.67632,14.14432,3722.4,3522.212,-200.188,1037.292,1037.964,0.672,1193.452,1192.144,-1.308,566.9,566.98,0.08,1129.26,1121.82,-7.44,1120,1128.244,8.244,0,-2.036,-2.036,273,274.328,1.328,463.752,479.708,15.956,985,984.872,-0.128,562.44,562.62,0.18,0,-0.872,-0.872,1237.508,1206.184,-31.324,0,-4.364,-4.364,270.052,272.292,2.24,0,-0.576,-0.576,0,-0.512,-0.512,0,-0.576,-0.576,95.42,109.376,13.956,101.672,112.896,11.224,61.532,63.04,1.508,81.092,84.864,3.772,45.912,48.768,2.856,1500,1519.42,19.42,80.632,95.232,14.6,950,942.544,-7.456,750,742.744,-7.256,85.112,83.008,-2.104,60.5,60.224,-0.276,49.99,2
01-May-21,1952.252,2006.656,54.404,1146.596,1156.92,10.324,929.5,936.98,7.48,937.5,957.78,20.28,937.5,936.236,-1.264,485,488.728,3.728,-1.104,-1.104,270,269.92,-0.08,502.4,512.872,10.472,455,436.584,-18.416,468.752,476.836,8.084,1856.252,1883.468,27.216,477.344,425.6,-51.744,384.5,395.056,10.556,594.292,506.472,-87.82,710,700.90908,-9.09092,0,0,0,937.5,953.308,15.808,937.496,946.452,8.956,275,276.364,1.364,1633.252,1638.108,4.856,500.532,525.96364,25.43164,3400,3521.936,121.936,1037.292,1046.692,9.4,1193.452,1209.892,16.44,566.9,564.944,-1.956,1129.26,1125.456,-3.804,1120,1115.928,-4.072,0,-1.744,-1.744,273,274.908,1.908,463.752,480.292,16.54,985,986.18,1.18,562.44,555.636,-6.804,0,-1.164,-1.164,1237.508,1187.804,-49.704,0,-4.8,-4.8,270.052,270.544,0.492,0,-0.64,-0.64,0,-0.512,-0.512,0,-0.512,-0.512,97.32,124.672,27.352,102.7,120.448,17.748,62.512,73.024,10.512,82.34,90.496,8.156,44.98,43.904,-1.076,1500,1504.872,4.872,80.012,91.392,11.38,950.008,945.6,-4.408,750,747.752,-2.248,80.9,79.872,-1.028,60.28,60.096,-0.184,49.95,3
01-May-21,1952.252,2003.348,51.096,1146.596,1158.856,12.26,929.5,936.792,7.292,937.5,962.368,24.868,937.5,949.528,12.028,485,497.972,12.972,-1.44,-1.44,270,275.36,5.36,502.4,521.02,18.62,455,437.58,-17.42,468.752,476.944,8.192,1856.252,1896.3,40.048,475.464,430.256,-45.208,384.5,395.056,10.556,594.292,517.236,-77.056,710,695.09088,-14.90912,0,0,0,937.5,963.2,25.7,937.504,938.232,0.728,275,277.236,2.236,1633.252,1637.672,4.42,500.532,514.21088,13.67888,3400,3514.568,114.568,1037.292,1049.02,11.728,1193.452,1210.764,17.312,566.9,566.108,-0.792,1129.26,1133.456,4.196,1120,1124.136,4.136,0,-2.18,-2.18,273,275.2,2.2,463.752,489.02,25.268,985,989.672,4.672,562.44,560.872,-1.568,0,-0.58,-0.58,1237.504,1183.952,-53.552,0,-4.8,-4.8,270.052,271.42,1.368,0,-0.576,-0.576,0,-0.512,-0.512,0,-0.512,-0.512,97.66,137.344,39.684,104.212,113.92,9.708,64.5,76.416,11.916,84.32,96.64,12.32,43.4,50.176,6.776,1500,1527.708,27.708,79.492,97.28,17.788,950.008,942.98,-7.028,750,748.588,-1.412,78.62,85.12,6.5,61.112,54.912,-6.2,49.91,4
01-May-21,1952.252,2002.84,50.588,1146.596,1155.968,9.372,929.5,937.984,8.484,937.5,960.528,23.028,937.5,945.32,7.82,485,507.32,22.32,-1.2,-1.2,270,275.6,5.6,502.4,524.8,22.4,455,436.592,-18.408,468.752,475.848,7.096,1856.252,1893.392,37.14,409.204,432.292,23.088,384.5,395.056,10.556,594.292,531.78,-62.512,710,699.63636,-10.36364,0,0.16,0.16,937.5,964.656,27.156,937.504,930.58,-6.924,275,277.528,2.528,1633.252,1636.364,3.112,500.532,520.2618,19.7298,3400,3512.924,112.924,1037.292,1049.6,12.308,1193.452,1215.708,22.256,566.9,565.82,-1.08,1129.26,1136.728,7.468,1120,1125.248,5.248,0,-2.18,-2.18,273,274.908,1.908,463.752,488.728,24.976,985,992.292,7.292,562.44,560.292,-2.148,0,-1.164,-1.164,1237.504,1208.04,-29.464,0,-4.8,-4.8,270.052,272.292,2.24,0,-0.576,-0.576,0,-0.576,-0.576,0,-0.512,-0.512,97.312,140.672,43.36,104.752,99.264,-5.488,65.82,73.408,7.588,85.12,89.6,4.48,42.052,52.736,10.684,1500,1527.272,27.272,73.652,103.168,29.516,950,940.364,-9.636,750,755.264,5.264,75.24,90.816,15.576,60.98,53.504,-7.476,49.89,5
01-May-21,1952.252,1967.068,14.816,1146.596,1162.692,16.096,929.5,935.668,6.168,937.5,955.592,18.092,937.5,947.012,9.512,489.732,505.528,15.796,-1.296,-1.296,270,275.68,5.68,502.4,525.964,23.564,455,440.516,-14.484,468.752,475.984,7.232,1856.252,1885.748,29.496,409.208,427.344,18.136,384.5,394.472,9.972,594.292,556.22,-38.072,710,702.90908,-7.09092,0,0.08,0.08,937.5,960.872,23.372,937.5,935.824,-1.676,275,277.528,2.528,1633.252,1637.236,3.984,500.532,518.98176,18.44976,3400,3506.236,106.236,1037.292,1043.2,5.908,1193.452,1205.82,12.368,566.9,565.528,-1.372,1129.26,1137.092,7.832,1124.732,1131.336,6.604,0,-2.18,-2.18,273,275.2,2.2,463.752,484.072,20.32,985,991.856,6.856,562.44,566.4,3.96,0,-1.164,-1.164,1237.504,1228.976,-8.528,0,-4.8,-4.8,270.052,271.856,1.804,0,-0.64,-0.64,0,-0.448,-0.448,0,-0.576,-0.576,97.572,136,38.428,106.94,85.184,-21.756,67.352,71.104,3.752,84.592,79.616,-4.976,40.5,50.048,9.548,1500,1526.4,26.4,73.88,102.656,28.776,950,943.856,-6.144,750,757.768,7.768,71.592,91.52,19.928,60.5,59.84,-0.66,49.9,6
01-May-21,1952.252,1996.312,44.06,1146.596,1153.692,7.096,929.5,936.044,6.544,937.5,958.148,20.648,937.5,947.832,10.332,485,503.848,18.848,-0.912,-0.912,270,271.92,1.92,502.4,524.8,22.4,455,435.14,-19.86,468.752,473.504,4.752,1856.252,1867.844,11.592,409.204,429.092,19.888,384.5,376.436,-8.064,594.292,590.836,-3.456,710,702.90912,-7.09088,0,0.08,0.08,937.5,958.836,21.336,937.504,939.008,1.504,275,277.82,2.82,1633.252,1632.872,-0.38,500.532,525.61444,25.08244,3400,3445.276,45.276,1037.292,1044.364,7.072,1193.452,1207.856,14.404,566.9,564.656,-2.244,1129.26,1139.272,10.012,1120,1132.144,12.144,0,-2.328,-2.328,273,276.656,3.656,463.752,483.492,19.74,985,992.292,7.292,562.44,564.364,1.924,0,-0.872,-0.872,1237.504,1229.864,-7.64,0,-4.8,-4.8,270.052,271.42,1.368,0,-0.512,-0.512,0,-0.576,-0.576,0,-0.512,-0.512,96.64,132.48,35.84,105.8,75.648,-30.152,68.792,67.072,-1.72,84.472,78.336,-6.136,39.912,47.488,7.576,1500,1532.8,32.8,71.892,95.488,23.596,950.008,947.344,-2.664,750,756.1,6.1,68.72,87.296,18.576,60.28,72.832,12.552,49.9,7
01-May-21,1952.252,2004.504,52.252,1146.596,1154.908,8.312,929.5,935.804,6.304,937.5,958.196,20.696,937.5,947.768,10.268,502.3,508.78,6.48,-1.584,-1.584,270,275.68,5.68,502.4,527.42,25.02,455,436.408,-18.592,468.752,472.296,3.544,1856.252,1872.08,15.828,409.208,434.328,25.12,384.5,387.2,2.7,594.292,564.944,-29.348,710,697.09092,-12.90908,0,0.16,0.16,937.5,941.38,3.88,937.504,946.82,9.316,275,279.272,4.272,1633.252,1655.128,21.876,500.532,520.84364,20.31164,3400,3477.376,77.376,1037.292,1048.728,11.436,1193.452,1216.58,23.128,566.9,566.98,0.08,1129.26,1137.456,8.196,1137.3,1140.952,3.652,0,-2.036,-2.036,269,276.364,7.364,463.752,481.744,17.992,985,991.42,6.42,522.44,538.18,15.74,0,-0.872,-0.872,1237.508,1231.796,-5.712,0,-4.364,-4.364,270.052,272.292,2.24,0,-0.64,-0.64,0,-0.512,-0.512,0,-0.512,-0.512,134.692,130.304,-4.388,105.432,64.064,-41.368,70.652,65.088,-5.564,84.452,82.048,-2.404,41.04,44.672,3.632,1500,1525.672,25.672,72.74,90.496,17.756,950,944.292,-5.708,750,754.428,4.428,66.5,83.328,16.828,61.112,86.272,25.16,49.89,8
01-May-21,1952.252,2005.548,53.296,1146.596,1156.228,9.632,929.5,934.652,5.152,937.5,954.572,17.072,937.5,943.716,6.216,505,501.568,-3.432,-1.536,-1.536,270,265.6,-4.4,502.4,519.856,17.456,455,437.844,-17.156,468.752,474.596,5.844,1856.252,1868.184,11.932,445.352,418.908,-26.444,384.5,393.02,8.52,594.292,527.708,-66.584,710,696.36364,-13.63636,0,0,0,937.5,947.2,9.7,937.504,941.224,3.72,275,279.564,4.564,1633.252,1645.092,11.84,500.532,519.91268,19.38068,3400,3403.364,3.364,1037.292,1054.256,16.964,1193.452,1201.744,8.292,566.9,564.072,-2.828,1129.26,1138.18,8.92,1140,1144.248,4.248,0,-2.328,-2.328,269,276.072,7.072,463.752,474.18,10.428,985,988.364,3.364,522.44,540.22,17.78,0,-0.872,-0.872,1237.508,1230.412,-7.096,0,-3.928,-3.928,270.052,271.856,1.804,0,-0.576,-0.576,0,-0.512,-0.512,0,-0.576,-0.576,135.252,125.184,-10.068,105.072,53.824,-51.248,74.152,68.352,-5.8,98.532,85.376,-13.156,43.432,43.008,-0.424,1500,1514.18,14.18,88.992,79.744,-9.248,950,943.856,-6.144,750,753.596,3.596,71.38,81.152,9.772,61.68,90.368,28.688,49.94,9
01-May-21,1952.252,2003.356,51.104,1146.596,1160.376,13.78,929.5,936.132,6.632,937.5,958.092,20.592,937.5,946.056,8.556,505,513.436,8.436,-1.152,-1.152,270,268.08,-1.92,502.4,515.492,13.092,455,436.12,-18.88,468.752,473.008,4.256,1856.252,1887.98,31.728,460.148,418.036,-42.112,384.5,394.472,9.972,594.292,519.856,-74.436,710,698.54544,-11.45456,0,0,0,937.5,954.472,16.972,937.504,939.956,2.452,275,279.272,4.272,1633.252,1651.2,17.948,475.472,515.1418,39.6698,3400,3504.872,104.872,1037.292,1054.836,17.544,1193.452,1202.328,8.876,566.9,567.564,0.664,1129.26,1139.636,10.376,1140,1144.308,4.308,0,-2.036,-2.036,269,276.072,7.072,463.752,477.672,13.92,985,986.62,1.62,525.6,541.38,15.78,0,-1.164,-1.164,1237.504,1220.624,-16.88,0,-4.8,-4.8,270.052,271.856,1.804,0,-0.64,-0.64,0,-0.576,-0.576,0,-0.512,-0.512,137.372,115.008,-22.364,103.152,42.944,-60.208,78.92,74.368,-4.552,97.012,90.752,-6.26,42.932,40.576,-2.356,1500,1530.472,30.472,87.332,75.136,-12.196,950,943.42,-6.58,750,754.428,4.428,72.972,82.56,9.588,62.02,85.248,23.228,49.95,10
