Date,CHHATTISGARH_Schedule,CHHATTISGARH_Drawal,CHHATTISGARH_Deviation,GUJARAT_Schedule,GUJARAT_Drawal,GUJARAT_Deviation,MADHYAPRADESH_Schedule,MADHYAPRADESH_Drawal,MADHYAPRADESH_Deviation,MAHARASHTRA_Schedule,MAHARASHTRA_Drawal,MAHARASHTRA_Deviation,GOA_Schedule,GOA_Drawal,GOA_Deviation,DD_Schedule,DD_Drawal,DD_Deviation,DNH_Schedule,DNH_Drawal,DNH_Deviation,AMNSIL_Schedule,AMNSIL_Drawal,AMNSIL_Deviation,BARC_Schedule,BARC_Drawal,BARC_Deviation,Block,Frequency_hz
01-May-21,1661.75,1744.83,83.08,4365.33,4061.65,-303.68,5548.39,5255.49,-292.90,6088.48,6125.11,36.63,473.46,472.34,-1.12,290.78,274.19,-16.59,677.26,692.57,15.31,49.24,0.00,-49.24,8.87,4.00,-4.87,1.00,49.98
01-May-21,1661.44,1674.73,13.30,4545.89,4407.30,-138.59,5448.23,5637.17,188.94,6072.65,6196.34,123.70,472.65,463.96,-8.69,290.80,273.06,-17.74,677.29,691.66,14.37,49.24,65.60,16.36,8.87,4.02,-4.85,2.00,49.99
01-May-21,1651.56,1644.33,-7.23,4544.68,4586.44,41.76,5333.80,5704.54,370.74,6052.82,6000.48,-52.33,467.06,462.26,-4.80,290.79,271.83,-18.96,672.45,688.34,15.89,49.24,64.32,15.08,8.87,4.00,-4.87,3.00,49.95
01-May-21,1641.57,1650.20,8.63,4520.54,4649.35,128.81,5336.01,5585.89,249.88,6095.64,6103.98,8.34,462.53,456.01,-6.52,290.78,268.78,-22.00,693.22,689.76,-3.47,49.24,51.84,2.60,8.87,4.00,-4.87,4.00,49.91
01-May-21,1594.24,1589.04,-5.20,4519.40,4577.30,57.90,5336.10,5455.33,119.23,6121.81,6085.68,-36.13,457.83,449.47,-8.36,290.80,267.53,-23.27,693.26,685.35,-7.91,49.24,0.96,-48.28,8.88,4.02,-4.86,5.00,49.89
01-May-21,1574.25,1631.03,56.78,4326.38,4494.67,168.29,5334.70,5353.80,19.10,6286.98,5930.43,-356.55,453.45,450.15,-3.30,293.50,267.90,-25.59,707.76,685.04,-22.72,49.24,-4.00,-53.24,8.88,3.98,-4.90,6.00,49.90
01-May-21,1651.58,1583.05,-68.52,4454.56,4399.38,-55.18,5343.39,5225.20,-118.18,6167.19,5917.96,-249.23,448.41,446.66,-1.75,281.16,268.30,-12.86,693.26,684.79,-8.47,49.24,52.00,2.76,8.87,3.97,-4.90,7.00,49.90
01-May-21,1554.24,1556.06,1.82,4451.75,4373.84,-77.91,5334.07,5120.12,-213.95,6041.44,5844.48,-196.96,442.54,439.53,-3.01,281.15,266.20,-14.96,686.98,684.96,-2.02,49.24,92.16,42.92,8.88,3.98,-4.90,8.00,49.89
01-May-21,1497.57,1572.79,75.22,4608.58,4588.98,-19.60,5334.62,4990.61,-344.02,6015.89,5708.90,-306.99,440.52,436.65,-3.87,281.14,263.97,-17.18,672.46,683.04,10.58,49.24,36.96,-12.28,8.86,3.96,-4.90,9.00,49.94
01-May-21,1467.61,1579.36,111.76,4809.13,4790.76,-18.38,5327.12,5138.74,-188.38,6000.25,5745.52,-254.73,437.29,437.27,-0.02,281.18,264.82,-16.36,693.29,683.47,-9.82,49.24,137.12,87.88,8.87,3.96,-4.91,10.00,49.95
